Skjermkort 1;Dette er vårt billigste skjermkort.;7;3299.0;Skjermkort;./src/Datamaskin/images/missingImage.png
8GB RAM;Dette er vårt beste minnekort.;10;1699.0;Minnekort;./src/Datamaskin/images/missingImage.png
128 GB SSD;Egnet til pcer for vanlig bruk.;5;1299.0;Harddisk;./src/Datamaskin/images/missingImage.png
Intel Core I3;Eldre versjon av prosessor.;5;2299.0;Prosessor;./src/Datamaskin/images/missingImage.png
Strømforsyning 2000;Nesten stillegående. Ekstremt tett spenningskontroll. Japanske kondensatorer;7;3399.0;Strømforsyning;./src/Datamaskin/images/missingImage.png
Soundblaster X Æ A-12;Høy oppløsning. Diskré hodetelefonforsterker.;5;1299.0;Lydkort;./src/Datamaskin/images/missingImage.png
Optisk disk 1;God opplevelse til daglige gjøremål.;5;429.0;Optisk disk;./src/Datamaskin/images/missingImage.png
Rød;En fin farge inspirert av rød rose.;10;290.0;Farge;./src/Datamaskin/images/missingImage.png
Ekstern skjerm 1;Stor skjerm så man ikke får vondt i øynene.;3;2179.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Mus 1;Fin for hånda. Bra passform.;3;579.0;Andre produkter;./src/Datamaskin/images/mus1.jpg
Webkamera 1;Nå med nattmodus!;2;899.0;Andre produkter;./src/Datamaskin/images/webkamera1.jpg
Mus 3;Godt egnet for gaming.;5;799.0;Andre produkter;./src/Datamaskin/images/missingImage.png
Tastatur 1;Dette er vårt billigste tastatur.;3;179.0;Andre produkter;./src/Datamaskin/images/keyboard1.jpg
Tastatur 2;Dette er vårt dyreste tastatur.;3;779.0;Andre produkter;./src/Datamaskin/images/keyboard2.jpg
